Timestamp,"Confidentiality and Privacy: Your privacy is important to us. All responses you provide will be kept strictly confidential and anonymous, and the results will only be analyzed in aggregate. Your personal information will not be shared with any third parties, and the data collected will be used for research purposes only.
Voluntary Participation: Participation in this study is entirely voluntary, and you have the right to withdraw at any time during the period the questionnaire is available for your completion. 
Contact Information: If you have any questions or concerns about the study, please feel free to contact us at: Ashrin Mobashira Shifa (ashrin.shifa@northsouth.edu)
By checking the ""I Agree"" box below, you indicate your voluntary consent to participate in this research study.",Gender,Age,Occupation,Marital status,Monthly household income (approximate),What activities were you involved in between 5:00 AM - 5:30 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 5:30 AM - 6:00 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 6:00 AM - 6:30 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 6:30 AM - 7:00 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 7:00 AM - 7:30 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 7:30 AM - 8:00 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 8:00 AM - 8:30 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 8:30 AM - 9:00 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 9:00 AM - 9:30 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 9:30 AM - 10:00 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 10:00 AM - 10:30 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 10:30 AM - 11:00 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 11:00 AM - 11:30 AM? Please select the most applicable option from the menu provided.,What activities were you involved in between 11:30 AM - 12:00 PM? Please select the most applicable option from the menu provided.,What was you activity between 12:00 PM - 12:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 12:30 PM - 1:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:00 PM - 1:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:30 PM - 2:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:00 PM - 2:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:30 PM - 3:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:00 PM - 3:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:30 PM - 4:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:00 PM - 4:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:30 PM - 5:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 5:00 PM - 5:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 5:30 PM - 6:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 6:00 PM - 6:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 6:30 PM - 7:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 7:00 PM - 7:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 7:30 PM - 8:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 8:00 PM - 8:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 8:30 PM - 9:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 9:00 PM - 9:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 9:30 PM - 10:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 10:00 PM - 10:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 10:30 PM - 11:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 11:00 PM - 11:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 11:30 PM - 12:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 12:00 AM - 12:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 12:30 AM - 1:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:00 AM - 1:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:30 AM - 2:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:00 AM - 2:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:30 AM - 3:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:00 AM - 3:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:30 AM - 4:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:00 AM - 4:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:30 AM - 5:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 5:00 AM - 5:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 5:30 AM - 6:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 6:00 AM - 6:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 6:30 AM - 7:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 7:00 AM - 7:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 7:30 AM - 8:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 8:00 AM - 8:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 8:30 AM - 9:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 9:00 AM - 9:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 9:30 AM - 10:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 10:00 AM - 10:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 10:30 AM - 11:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 11:00 AM - 11:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 11:30 AM - 12:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 12:00 PM - 12:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 12:30 PM - 1:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:00 PM - 1:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:30 PM - 2:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:00 PM - 2:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:30 PM - 3:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:00 PM - 3:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:30 PM - 4:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:00 PM - 4:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:30 PM - 5:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 5:00 PM - 5:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 5:30 PM - 6:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 6:00 PM - 6:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 6:30 PM - 7:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 7:00 PM - 7:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 7:30 PM - 8:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 8:00 PM - 8:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 8:30 PM - 9:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 9:00 PM - 9:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 9:30 PM - 10:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 10:00 PM - 10:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 10:30 PM - 11:00 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 11:00 PM - 11:30 PM ?  Please select the most applicable option from the menu provided.,What was you activity between 11:30 PM - 12:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 12:00 AM - 12:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 12:30 AM - 1:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:00 AM - 1:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 1:30 AM - 2:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:00 AM - 2:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 2:30 AM - 3:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:00 AM - 3:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 3:30 AM - 4:00 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:00 AM - 4:30 AM ?  Please select the most applicable option from the menu provided.,What was you activity between 4:30 AM - 5:00 AM ?  Please select the most applicable option from the menu provided.,"When I must choose between the two, I usually dress for fashion, not for comfort.",An important part of my life and activities is dressing smartly.,A person should try to dress in style.
2023/09/21 6:19:47 PM GMT+6,I Agree,Female,23,Student,Single,0,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Housework,Eating,University Class,University Class,University Class,Phone Calls,Socializing,Family Time,Cooking,Cooking,Housework,Housework,Personal Care,Personal Care,University Class,University Class,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Study,Study,Study,Cooking,Cooking,Personal Care,Study,Eating,Study,Study,Study,Study,Study,Reading or Writing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Personal Care,Housework,Housework,Cooking,Cooking,Cooking,Family Time,Phone Calls,Eating,Sleeping,Sleeping,Sleeping,Traveling,Socializing,Traveling,Personal Care,Personal Care,Sleeping,Sleeping,Study,Study,Study,Study,Study,Study,Eating,Eating,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,2,3,3
2023/09/23 10:48:07 PM GMT+6,I Agree,Female,23,Student,Single,100000,Sleeping,Sleeping,Personal Care,Personal Care,Eating,Traveling,University Class,University Class,University Class,University Class,University Class,Socializing,Socializing,Socializing,Eating,Eating,Work,Work,Work,Work,Work,Socializing,Socializing,Travelling,Entertainment,Entertainment,Study,Study,Study,Study,Study,Eating,Eating,Personal Care,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Eating,Study,Study,Study,Study,Entertainment,Study,Study,Study,Study,Eating,Eating,Caring for Pets,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Study,Study,Study,Eating,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,2,3
2023/09/23 10:53:57 PM GMT+6,I Agree,Female,25,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Personal Care,Reading or Writing,Socializing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Eating,Video Games,Entertainment,Entertainment,Family Time,Video Games,Video Games,Video Games,Video Games,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Personal Care,Reading or Writing,Socializing,Eating,Personal Care,Video Games,Video Games,Video Games,Video Games,Video Games,Reading or Writing,Reading or Writing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Eating,Reading or Writing,Reading or Writing,Reading or Writing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Exercise,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,3,4,3
2023/09/23 10:57:50 PM GMT+6,I Agree,Male,23,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Traveling,Traveling,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Exercise,Exercise,Exercise,Exercise,University Class,University Class,University Class,Travelling,Travelling,Travelling,Caring for Pets,Personal Care,Work,Work,Entertainment,Personal Care,Eating,Eating,Eating,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Work,Work,Eating,Study,Study,Study,Personal Care,Study,Exercise,Study,Study,Socializing,Socializing,Socializing,Study,Study,Study,Socializing,Socializing,Entertainment,Entertainment,Family Time,Family Time,Family Time,Study,Family Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,5,5
2023/09/23 10:59:18 PM GMT+6,I Agree,Male,23,Student,Single,90000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,University Class,University Class,University Class,University Class,University Class,Study,University Class,Study,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Housework,Family Time,Sleeping,Sleeping,Religion or Spiritual Activities,Entertainment,Family Time,Family Time,Religion or Spiritual Activities,Study,Study,Study,Religion or Spiritual Activities,Eating,Family Time,Family Time,Study,Housework,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Sleeping,Sleeping,Exercise,Sleeping,Sleeping,University Class,University Class,Entertainment,University Class,University Class,University Class,University Class,University Class,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,University Class,University Class,University Class,Religion or Spiritual Activities,Traveling,Traveling,Religion or Spiritual Activities,Housework,Religion or Spiritual Activities,Study,Study,Religion or Spiritual Activities,Eating,Family Time,Family Time,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,2,2,2
2023/09/23 11:00:14 PM GMT+6,I Agree,Male,24,Student,Single,35000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Personal Care,Religion or Spiritual Activities,Housework,Family Time,Sleeping,Work,Religion or Spiritual Activities,Work,Work,Religion or Spiritual Activities,Study,Study,Study,Housework,Housework,Video Games,Eating,Personal Care,Personal Care,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Entertainment,Family Time,Caring for Pets,Personal Care,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Religion or Spiritual Activities,Socializing,Socializing,Socializing,Shopping,Shopping,Housework,Study,Study,Study,Entertainment,Eating,Caring for Pets,Personal Care,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,2,3
2023/09/23 11:04:01 PM GMT+6,I Agree,Male,24,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Traveling,Study,Study,Study,Study,Study,Study,Eating,Study,Study,Study,Study,Travelling,Phone Calls,Phone Calls,Phone Calls,Personal Care,Religion or Spiritual Activities,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Study,Phone Calls,Phone Calls,Study,Phone Calls,Study,Study,Personal Care,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Religion or Spiritual Activities,Eating,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Study,Study,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,3,4
2023/09/23 11:09:19 PM GMT+6,I Agree,Female,23,Student,Single,15000,Sleeping,Religion or Spiritual Activities,Personal Care,Work,Work,Work,Work,Work,Eating,University Class,University Class,University Class,University Class,University Class,Study,Study,Study,Socializing,Socializing,Socializing,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Travelling,Travelling,Family Time,Family Time,Family Time,Family Time,Eating,Eating,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Eating,Study,Study,Study,Study,Phone Calls,Phone Calls,Socializing,Entertainment,Family Time,Family Time,Sleeping,Sleeping,Sleeping,Eating,Housework,Personal Care,Reading or Writing,Reading or Writing,Entertainment,Entertainment,Study,Study,Phone Calls,Phone Calls,Work,Work,Eating,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,1,1,3
2023/09/23 11:49:01 PM GMT+6,I Agree,Female,21,Student,Single,500000,Sleeping,Sleeping,Sleeping,Personal Care,Cooking,Eating,University Class,University Class,University Class,University Class,University Class,University Class,Socializing,University Class,University Class,University Class,University Class,University Class,Eating,Sleeping,Work,Work,Work,Work,Work,Work,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Family Time,Eating,Entertainment,Study,Study,Study,Study,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Personal Care,Study,Study,Study,Study,Study,Eating,Housework,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Housework,Entertainment,Family Time,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Eating,Housework,Entertainment,Study,Study,Study,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,2,3,3
2023/09/23 11:56:38 PM GMT+6,I Agree,Male,23,Student,Married,50000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Entertainment,Entertainment,Family Time,Family Time,Family Time,Study,Study,Study,Study,Study,Eating,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Study,Study,Study,Study,Study,Study,Study,Study,Eating,Eating,Family Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,3,3
