Gender,Age,Occupation,Marital status,HouseHoldIncome,Weekday_05:00-05:30,Weekday_05:30-06:00,Weekday_06:00-06:30,Weekday_06:30-07:00,Weekday_07:00-07:30,Weekday_07:30-08:00,Weekday_08:00-08:30,Weekday_08:30-09:00,Weekday_09:00-09:30,Weekday_09:30-10:00,Weekday_10:00-10:30,Weekday_10:30-11:00,Weekday_11:00-11:30,Weekday_11:30-12:00,Weekday_12:00-12:30,Weekday_12:30-13:00,Weekday_13:00-13:30,Weekday_13:30-14:00,Weekday_14:00-14:30,Weekday_14:30-15:00,Weekday_15:00-15:30,Weekday_15:30-16:00,Weekday_16:00-16:30,Weekday_16:30-17:00,Weekday_17:00-17:30,Weekday_17:30-18:00,Weekday_18:00-18:30,Weekday_18:30-19:00,Weekday_19:00-19:30,Weekday_19:30-20:00,Weekday_20:00-20:30,Weekday_20:30-21:00,Weekday_21:00-21:30,Weekday_21:30-22:00,Weekday_22:00-22:30,Weekday_22:30-23:00,Weekday_23:00-23:30,Weekday_23:30-00:00,Weekday_00:00-00:30,Weekday_00:30-01:00,Weekday_01:00-01:30,Weekday_01:30-02:00,Weekday_02:00-02:30,Weekday_02:30-03:00,Weekday_03:00-03:30,Weekday_03:30-04:00,Weekday_04:00-04:30,Weekday_04:30-05:00,Weekend_05:00-05:30,Weekend_05:30-06:00,Weekend_06:00-06:30,Weekend_06:30-07:00,Weekend_07:00-07:30,Weekend_07:30-08:00,Weekend_08:00-08:30,Weekend_08:30-09:00,Weekend_09:00-09:30,Weekend_09:30-10:00,Weekend_10:00-10:30,Weekend_10:30-11:00,Weekend_11:00-11:30,Weekend_11:30-12:00,Weekend_12:00-12:30,Weekend_12:30-13:00,Weekend_13:00-13:30,Weekend_13:30-14:00,Weekend_14:00-14:30,Weekend_14:30-15:00,Weekend_15:00-15:30,Weekend_15:30-16:00,Weekend_16:00-16:30,Weekend_16:30-17:00,Weekend_17:00-17:30,Weekend_17:30-18:00,Weekend_18:00-18:30,Weekend_18:30-19:00,Weekend_19:00-19:30,Weekend_19:30-20:00,Weekend_20:00-20:30,Weekend_20:30-21:00,Weekend_21:00-21:30,Weekend_21:30-22:00,Weekend_22:00-22:30,Weekend_22:30-23:00,Weekend_23:00-23:30,Weekend_23:30-00:00,Weekend_00:00-00:30,Weekend_00:30-01:00,Weekend_01:00-01:30,Weekend_01:30-02:00,Weekend_02:00-02:30,Weekend_02:30-03:00,Weekend_03:00-03:30,Weekend_03:30-04:00,Weekend_04:00-04:30,Weekend_04:30-05:00,FashionPref,SmartDresserPref,StylePref,IncomeGroup,Sleeping_duration_weekday,Sleeping_duration_weekend,University_Class_duration_weekday,University_Class_duration_weekend,Study_duration_weekday,Study_duration_weekend,Exercise_duration_weekday,Exercise_duration_weekend,Work_duration_weekday,Work_duration_weekend,Housework_duration_weekday,Housework_duration_weekend,Cooking_duration_weekday,Cooking_duration_weekend,Entertainment_duration_weekday,Entertainment_duration_weekend,Personal_Care_duration_weekday,Personal_Care_duration_weekend,Eating_duration_weekday,Eating_duration_weekend,Socializing_duration_weekday,Socializing_duration_weekend,Video_Games_duration_weekday,Video_Games_duration_weekend,Religion_or_Spiritual_Activities_duration_weekday,Religion_or_Spiritual_Activities_duration_weekend,Shopping_duration_weekday,Shopping_duration_weekend,Family_Time_duration_weekday,Family_Time_duration_weekend,Sports_duration_weekday,Sports_duration_weekend,Reading_or_Writing_duration_weekday,Reading_or_Writing_duration_weekend,Nightlife_duration_weekday,Nightlife_duration_weekend,Travelling_duration_weekday,Travelling_duration_weekend,Caring_for_Pets_duration_weekday,Caring_for_Pets_duration_weekend,Volunteering_duration_weekday,Volunteering_duration_weekend,Gardening_duration_weekday,Gardening_duration_weekend,Phone_Calls_duration_weekday,Phone_Calls_duration_weekend,Entertainment_merged_duration_weekday,Entertainment_merged_duration_weekend,Personal_care_merged_duration_weekday,Personal_care_merged_duration_weekend,Housework_merged_duration_weekday,Housework_merged_duration_weekend,Active_duration_weekday,Active_duration_weekend,Leisure_duration_weekday,Leisure_duration_weekend,Neutral_duration_weekday,Neutral_duration_weekend,Weekday_Breakfast_time,Weekend_Breakfast_time,Weekday_Lunch_time,Weekend_Lunch_time,Weekday_Dinner_time,Weekend_Dinner_time,Productivity_score_weekday,Productivity_score_weekend
Female,23,Student,Single,0.0,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Housework,Eating,University Class,University Class,University Class,Phone Calls,Socializing,Family Time,Cooking,Cooking,Housework,Housework,Personal Care,Personal Care,University Class,University Class,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Study,Study,Study,Cooking,Cooking,Personal Care,Study,Eating,Study,Study,Study,Study,Study,Reading or Writing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Personal Care,Housework,Housework,Cooking,Cooking,Cooking,Family Time,Phone Calls,Eating,Sleeping,Sleeping,Sleeping,Travelling,Socializing,Travelling,Personal Care,Personal Care,Sleeping,Sleeping,Study,Study,Study,Study,Study,Study,Eating,Eating,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,2,3,3,Low,7.0,10.5,2.5,0.0,4.5,4.0,0.0,0.0,0.0,0.0,1.5,1.0,2.0,1.5,0.0,0.0,1.5,1.5,1.5,2.0,0.5,0.5,0.0,0.0,1.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0,3.5,2.5,10.5,6.5,11.5,14.5,2.0,3.0,08:30-09:00,,,,18:00-18:30,23:00-23:30,0.4375,0.2708333333333333
Female,23,Student,Single,100000.0,Sleeping,Sleeping,Personal Care,Personal Care,Eating,Travelling,University Class,University Class,University Class,University Class,University Class,Socializing,Socializing,Socializing,Eating,Eating,Work,Work,Work,Work,Work,Socializing,Socializing,Travelling,Entertainment,Entertainment,Study,Study,Study,Study,Study,Eating,Eating,Personal Care,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Eating,Study,Study,Study,Study,Entertainment,Study,Study,Study,Study,Eating,Eating,Caring for Pets,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Study,Study,Study,Eating,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,2,3,Moderate,7.5,9.0,2.5,0.0,2.5,7.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.5,4.5,1.5,0.0,2.5,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.5,1.5,0.0,0.0,0.0,7.5,7.0,14.0,16.5,2.5,0.5,07:00-07:30,07:30-08:00,12:00-12:30,13:00-13:30,20:30-21:00,20:30-21:00,0.3125,0.2916666666666667
Female,25,Student,Single,200000.0,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Personal Care,Reading or Writing,Socializing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Eating,Video Games,Entertainment,Entertainment,Family Time,Video Games,Video Games,Video Games,Video Games,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Personal Care,Reading or Writing,Socializing,Eating,Personal Care,Video Games,Video Games,Video Games,Video Games,Video Games,Reading or Writing,Reading or Writing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Eating,Reading or Writing,Reading or Writing,Reading or Writing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Exercise,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,3,4,3,Moderate,6.5,8.0,7.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.5,0.5,0.5,6.0,9.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.5,1.0,0.0,0.0,7.0,0.5,16.5,22.5,0.5,1.0,,,,13:00-13:30,20:30-21:00,21:00-21:30,0.2916666666666667,0.020833333333333332
Male,23,Student,Single,100000.0,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Travelling,Travelling,Travelling,Travelling,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Exercise,Exercise,Exercise,Exercise,University Class,University Class,University Class,Travelling,Travelling,Travelling,Caring for Pets,Personal Care,Work,Work,Entertainment,Personal Care,Eating,Eating,Eating,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Work,Work,Eating,Study,Study,Study,Personal Care,Study,Exercise,Study,Study,Socializing,Socializing,Socializing,Study,Study,Study,Socializing,Socializing,Entertainment,Entertainment,Family Time,Family Time,Family Time,Study,Family Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,5,5,Moderate,7.5,11.0,4.5,0.0,0.0,5.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,2.5,0.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,2.0,0.5,0.0,0.0,7.5,6.5,10.5,17.0,6.0,0.5,07:00-07:30,,12:30-13:00,12:00-12:30,21:00-21:30,,0.3125,0.2708333333333333
Male,23,Student,Single,90000.0,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,University Class,University Class,University Class,University Class,University Class,Study,University Class,Study,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Housework,Family Time,Sleeping,Sleeping,Religion or Spiritual Activities,Entertainment,Family Time,Family Time,Religion or Spiritual Activities,Study,Study,Study,Religion or Spiritual Activities,Eating,Family Time,Family Time,Study,Housework,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Sleeping,Sleeping,Exercise,Sleeping,Sleeping,University Class,University Class,Entertainment,University Class,University Class,University Class,University Class,University Class,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,University Class,University Class,University Class,Religion or Spiritual Activities,Travelling,Travelling,Religion or Spiritual Activities,Housework,Religion or Spiritual Activities,Study,Study,Religion or Spiritual Activities,Eating,Family Time,Family Time,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,2,2,2,Moderate,9.0,8.0,3.0,5.0,3.0,2.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,7.0,8.0,17.0,15.0,0.0,1.0,08:00-08:30,,13:30-14:00,13:30-14:00,20:30-21:00,20:30-21:00,0.2916666666666667,0.3333333333333333
Male,24,Student,Single,35000.0,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Personal Care,Religion or Spiritual Activities,Housework,Family Time,Sleeping,Work,Religion or Spiritual Activities,Work,Work,Religion or Spiritual Activities,Study,Study,Study,Housework,Housework,Video Games,Eating,Personal Care,Personal Care,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Entertainment,Family Time,Caring for Pets,Personal Care,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Religion or Spiritual Activities,Socializing,Socializing,Socializing,Shopping,Shopping,Housework,Study,Study,Study,Entertainment,Eating,Caring for Pets,Personal Care,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,2,3,Moderate,8.0,11.0,5.0,0.0,1.5,1.5,0.0,0.0,1.5,0.0,1.5,0.5,0.0,0.0,1.0,2.5,1.5,1.5,0.5,1.5,0.0,1.5,0.5,0.0,1.5,1.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,1.5,1.5,1.5,0.5,9.5,2.0,12.0,19.5,2.5,2.5,,,,,21:30-22:00,22:00-22:30,0.3958333333333333,0.08333333333333333
Male,24,Student,Single,200000.0,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Travelling,Study,Study,Study,Study,Study,Study,Eating,Study,Study,Study,Study,Travelling,Phone Calls,Phone Calls,Phone Calls,Personal Care,Religion or Spiritual Activities,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Study,Phone Calls,Phone Calls,Study,Phone Calls,Study,Study,Personal Care,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Religion or Spiritual Activities,Eating,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Study,Study,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,3,4,Moderate,7.5,13.5,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,7.0,7.5,0.0,0.0,7.0,2.0,9.0,14.5,8.0,7.5,,,13:00-13:30,13:30-14:00,,,0.2916666666666667,0.08333333333333333
Female,23,Student,Single,15000.0,Sleeping,Religion or Spiritual Activities,Personal Care,Work,Work,Work,Work,Work,Eating,University Class,University Class,University Class,University Class,University Class,Study,Study,Study,Socializing,Socializing,Socializing,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Travelling,Travelling,Family Time,Family Time,Family Time,Family Time,Eating,Eating,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Eating,Study,Study,Study,Study,Phone Calls,Phone Calls,Socializing,Entertainment,Family Time,Family Time,Sleeping,Sleeping,Sleeping,Eating,Housework,Personal Care,Reading or Writing,Reading or Writing,Entertainment,Entertainment,Study,Study,Phone Calls,Phone Calls,Work,Work,Eating,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,1,1,3,Low,5.5,10.0,5.5,0.0,1.5,3.0,0.0,0.0,2.5,1.0,0.0,0.5,0.0,0.0,0.0,1.5,0.5,0.5,1.5,2.5,1.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.5,1.5,2.5,0.0,0.5,9.5,4.5,11.0,17.0,3.5,2.5,,,,,22:00-22:30,23:00-23:30,0.3958333333333333,0.1875
Female,21,Student,Single,500000.0,Sleeping,Sleeping,Sleeping,Personal Care,Cooking,Eating,University Class,University Class,University Class,University Class,University Class,University Class,Socializing,University Class,University Class,University Class,University Class,University Class,Eating,Sleeping,Work,Work,Work,Work,Work,Work,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Family Time,Eating,Entertainment,Study,Study,Study,Study,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Personal Care,Study,Study,Study,Study,Study,Eating,Housework,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Housework,Entertainment,Family Time,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Eating,Housework,Entertainment,Study,Study,Study,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,2,3,3,High,5.0,9.5,5.5,0.0,3.5,4.0,0.0,0.0,3.0,0.0,0.0,1.5,0.5,0.0,3.5,6.5,0.5,0.5,1.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.5,0.5,0.5,0.5,1.5,12.5,5.5,11.0,18.0,0.5,0.5,07:30-08:00,,,13:30-14:00,22:00-22:30,22:00-22:30,0.5208333333333334,0.22916666666666666
Male,23,Student,Married,50000.0,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Entertainment,Entertainment,Family Time,Family Time,Family Time,Study,Study,Study,Study,Study,Eating,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Study,Study,Study,Study,Study,Study,Study,Study,Eating,Eating,Family Time,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,3,3,3,Moderate,11.0,8.0,5.5,10.5,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,8.0,14.5,16.0,9.5,0.0,0.0,,,13:30-14:00,,22:00-22:30,22:00-22:30,0.3333333333333333,0.6041666666666666
